Coluna;CNAE 2.0 Grupo
Município;011:Produção de lavouras temporárias;012:Horticultura e floricultura;013:Produção de lavouras permanentes;014:Produção de sementes e mudas certificadas;015:Pecuária;016:Atividades de apoio à agricultura e à pecuária;017:Caça e serviços relacionados;021:Produção florestal - florestas plantadas;022:Produção florestal - florestas nativas;023:Atividades de apoio à produção florestal;031:Pesca;032:Aqüicultura;050:Extração de carvão mineral;060:Extração de petróleo e gás natural;071:Extração de minério de ferro;072:Extração de minerais metálicos não-ferrosos;081:Extração de pedra, areia e argila;089:Extração de outros minerais não-metálicos;091:Atividades de apoio à extração de petróleo e gás natural;099:Atividades de apoio à extração de minerais, exceto petróleo e gás natural;101:Abate e fabricação de produtos de carne;102:Preservação do pescado e fabricação de produtos do pescado;103:Fabricação de conservas de frutas, legumes e outros vegetais;104:Fabricação de óleos e gorduras vegetais e animais;105:Laticínios;106:Moagem, fabricação de produtos amiláceos e de alimentos para animais;107:Fabricação e refino de açúcar;108:Torrefação e moagem de café;109:Fabricação de outros produtos alimentícios;111:Fabricação de bebidas alcoólicas;112:Fabricação de bebidas não-alcoólicas;121:Processamento industrial do fumo;122:Fabricação de produtos do fumo;131:Preparação e fiação de fibras têxteis;132:Tecelagem, exceto malha;133:Fabricação de tecidos de malha;134:Acabamentos em fios, tecidos e artefatos têxteis;135:Fabricação de artefatos têxteis, exceto vestuário;141:Confecção de artigos do vestuário e acessórios;142:Fabricação de artigos de malharia e tricotagem;151:Curtimento e outras preparações de couro;152:Fabricação de artigos para viagem e de artefatos diversos de couro;153:Fabricação de calçados;154:Fabricação de partes para calçados, de qualquer material;161:Desdobramento de madeira;162:Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis;171:Fabricação de celulose e outras pastas para a fabricação de papel;172:Fabricação de papel, cartolina e papel-cartão;173:Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado;174:Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado;181:Atividade de impressão;182:Serviços de pré-impressão e acabamentos gráficos;183:Reprodução de materiais gravados em qualquer suporte;191:Coquerias;192:Fabricação de produtos derivados do petróleo;193:Fabricação de biocombustíveis;201:Fabricação de produtos químicos inorgânicos;202:Fabricação de produtos químicos orgânicos;203:Fabricação de resinas e elastômeros;204:Fabricação de fibras artificiais e sintéticas;205:Fabricação de defensivos agrícolas e desinfestantes domissanitários;206:Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal;207:Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins;209:Fabricação de produtos e preparados químicos diversos;211:Fabricação de produtos farmoquímicos;212:Fabricação de produtos farmacêuticos;221:Fabricação de produtos de borracha;222:Fabricação de produtos de material plástico;231:Fabricação de vidro e de produtos do vidro;232:Fabricação de cimento;233:Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;234:Fabricação de produtos cerâmicos;239:Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos;241:Produção de ferro-gusa e de ferroligas;242:Siderurgia;243:Produção de tubos de aço, exceto tubos sem costura;244:Metalurgia dos metais não-ferrosos;245:Fundição;251:Fabricação de estruturas metálicas e obras de caldeiraria pesada;252:Fabricação de tanques, reservatórios metálicos e caldeiras;253:Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais;254:Fabricação de artigos de cutelaria, de serralheria e ferramentas;255:Fabricação de equipamento bélico pesado, armas de fogo e munições;259:Fabricação de produtos de metal não especificados anteriormente;261:Fabricação de componentes eletrônicos;262:Fabricação de equipamentos de informática e periféricos;263:Fabricação de equipamentos de comunicação;264:Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo;265:Fabricação de aparelhos e instrumentos de medida, teste e controle;266:Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;267:Fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos;268:Fabricação de mídias virgens, magnéticas e ópticas;271:Fabricação de geradores, transformadores e motores elétricos;272:Fabricação de pilhas, baterias e acumuladores elétricos;273:Fabricação de equipamentos para distribuição e controle de energia elétrica;274:Fabricação de lâmpadas e outros equipamentos de iluminação;275:Fabricação de eletrodomésticos;279:Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente;281:Fabricação de motores, bombas, compressores e equipamentos de transmissão;282:Fabricação de máquinas e equipamentos de uso geral;283:Fabricação de tratores e de máquinas e equipamentos para a agricultura e pecuária;284:Fabricação de máquinas-ferramenta;285:Fabricação de máquinas e equipamentos de uso na extração mineral e na construção;286:Fabricação de máquinas e equipamentos de uso industrial específico;291:Fabricação de automóveis, camionetas e utilitários;292:Fabricação de caminhões e ônibus;293:Fabricação de cabines, carrocerias e reboques para veículos automotores;294:Fabricação de peças e acessórios para veículos automotores;295:Recondicionamento e recuperação de motores para veículos automotores;301:Construção de embarcações;303:Fabricação de veículos ferroviários;304:Fabricação de aeronaves;309:Fabricação de equipamentos de transporte não especificados anteriormente;310:Fabricação de móveis;321:Fabricação de artigos de joalheria, bijuteria e semelhantes;322:Fabricação de instrumentos musicais;323:Fabricação de artefatos para pesca e esporte;324:Fabricação de brinquedos e jogos recreativos;325:Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos;329:Fabricação de produtos diversos;331:Manutenção e reparação de máquinas e equipamentos;332:Instalação de máquinas e equipamentos;351:Geração, transmissão e distribuição de energia elétrica;352:Produção e distribuição de combustíveis gasosos por redes urbanas;353:Produção e distribuição de vapor, água quente e ar condicionado;360:Captação, tratamento e distribuição de água;370:Esgoto e atividades relacionadas;381:Coleta de resíduos;382:Tratamento e disposição de resíduos;383:Recuperação de materiais;390:Descontaminação e outros serviços de gestão de resíduos;411:Incorporação de empreendimentos imobiliários;412:Construção de edifícios;421:Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais;422:Obras de infra-estrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos;429:Construção de outras obras de infra-estrutura;431:Demolição e preparação do terreno;432:Instalações elétricas, hidráulicas e outras instalações em construções;433:Obras de acabamento;439:Outros serviços especializados para construção;451:Comércio de veículos automotores;452:Manutenção e reparação de veículos automotores;453:Comércio de peças e acessórios para veículos automotores;454:Comércio, manutenção e reparação de motocicletas, peças e acessórios;461:Representantes comerciais e agentes do comércio, exceto de veículos automotores e motocicletas;462:Comércio atacadista de matérias-primas agrícolas e animais vivos;463:Comércio atacadista especializado em produtos alimentícios, bebidas e fumo;464:Comércio atacadista de produtos de consumo não-alimentar;465:Comércio atacadista de equipamentos e produtos de tecnologias de informação e comunicação;466:Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação;467:Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção;468:Comércio atacadista especializado em outros produtos;469:Comércio atacadista não-especializado;471:Comércio varejista não-especializado;472:Comércio varejista de produtos alimentícios, bebidas e fumo;473:Comércio varejista de combustíveis para veículos automotores;474:Comércio varejista de material de construção;475:Comércio varejista de equipamentos de informática e comunicação;476:Comércio varejista de artigos culturais, recreativos e esportivos;477:Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos;478:Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;491:Transporte ferroviário e metroferroviário;492:Transporte rodoviário de passageiros;493:Transporte rodoviário de carga;494:Transporte dutoviário;495:Trens turísticos, teleféricos e similares;501:Transporte marítimo de cabotagem e longo curso;502:Transporte por navegação interior;503:Navegação de apoio;509:Outros transportes aquaviários;511:Transporte aéreo de passageiros;512:Transporte aéreo de carga;513:Transporte espacial;521:Armazenamento, carga e descarga;522:Atividades auxiliares dos transportes terrestres;523:Atividades auxiliares dos transportes aquaviários;524:Atividades auxiliares dos transportes aéreos;525:Atividades relacionadas à organização do transporte de carga;531:Atividades de Correio;532:Atividades de malote e de entrega;551:Hotéis e similares;559:Outros tipos de alojamento não especificados anteriormente;561:Restaurantes e outros serviços de alimentação e bebidas;562:Serviços de catering, bufê e outros serviços de comida preparada;581:Edição de livros, jornais, revistas e outras atividades de edição;582:Edição integrada à impressão de livros, jornais, revistas e outras publicações;591:Atividades cinematográficas, produção de vídeos e de programas de televisão;592:Atividades de gravação de som e de edição de música;601:Atividades de rádio;602:Atividades de televisão;611:Telecomunicações por fio;612:Telecomunicações sem fio;613:Telecomunicações por satélite;614:Operadoras de televisão por assinatura;619:Outras atividades de telecomunicações;620:Atividades dos serviços de tecnologia da informação;631:Tratamento de dados, hospedagem na internet e outras atividades relacionadas;639:Outras atividades de prestação de serviços de informação;641:Banco Central;642:Intermediação monetária - depósitos à vista;643:Intermediação não-monetária - outros instrumentos de captação;644:Arrendamento mercantil;645:Sociedades de capitalização;646:Atividades de sociedades de participação;647:Fundos de investimento;649:Atividades de serviços financeiros não especificadas anteriormente;651:Seguros de vida e não-vida;652:Seguros-saúde;653:Resseguros;654:Previdência complementar;655:Planos de saúde;661:Atividades auxiliares dos serviços financeiros;662:Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde;663:Atividades de administração de fundos por contrato ou comissão;681:Atividades imobiliárias de imóveis próprios;682:Atividades imobiliárias por contrato ou comissão;691:Atividades jurídicas;692:Atividades de contabilidade, consultoria e auditoria contábil e tributária;702:Atividades de consultoria em gestão empresarial;711:Serviços de arquitetura e engenharia e atividades técnicas relacionadas;712:Testes e análises técnicas;721:Pesquisa e desenvolvimento experimental em ciências físicas e naturais;722:Pesquisa e desenvolvimento experimental em ciências sociais e humanas;731:Publicidade;732:Pesquisas de mercado e de opinião pública;741:Design e decoração de interiores;742:Atividades fotográficas e similares;749:Atividades profissionais, científicas e técnicas não especificadas anteriormente;750:Atividades veterinárias;771:Locação de meios de transporte sem condutor;772:Aluguel de objetos pessoais e domésticos;773:Aluguel de máquinas e equipamentos sem operador;774:Gestão de ativos intangíveis não-financeiros;781:Seleção e agenciamento de mão-de-obra;782:Locação de mão-de-obra temporária;783:Fornecimento e gestão de recursos humanos para terceiros;791:Agências de viagens e operadores turísticos;799:Serviços de reservas e outros serviços de turismo não especificados anteriormente;801:Atividades de vigilância, segurança privada e transporte de valores;802:Atividades de monitoramento de sistemas de segurança;803:Atividades de investigação particular;811:Serviços combinados para apoio a edifícios;812:Atividades de limpeza;813:Atividades paisagísticas;821:Serviços de escritório e apoio administrativo;822:Atividades de teleatendimento;823:Atividades de organização de eventos, exceto culturais e esportivos;829:Outras atividades de serviços prestados principalmente às empresas;841:Administração do estado e da política econômica e social;842:Serviços coletivos prestados pela administração pública;843:Seguridade social obrigatória;851:Educação infantil e ensino fundamental;852:Ensino médio;853:Educação superior;854:Educação profissional de nível técnico e tecnológico;855:Atividades de apoio à educação;859:Outras atividades de ensino;861:Atividades de atendimento hospitalar;862:Serviços móveis de atendimento a urgências e de remoção de pacientes;863:Atividades de atenção ambulatorial executadas por médicos e odontólogos;864:Atividades de serviços de complementação diagnóstica e terapêutica;865:Atividades de profissionais da área de saúde, exceto médicos e odontólogos;866:Atividades de apoio à gestão de saúde;869:Atividades de atenção à saúde humana não especificadas anteriormente;871:Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes, e de infra-est e apoio a pac prest em res col e part;872:Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química;873:Atividades de assistência social prestadas em residências coletivas e particulares;880:Serviços de assistência social sem alojamento;900:Atividades artísticas, criativas e de espetáculos;910:Atividades ligadas ao patrimônio cultural e ambiental;920:Atividades de exploração de jogos de azar e apostas;931:Atividades esportivas;932:Atividades de recreação e lazer;941:Atividades de organizações associativas patronais, empresariais e profissionais;942:Atividades de organizações sindicais;943:Atividades de associações de defesa de direitos sociais;949:Atividades de organizações associativas não especificadas anteriormente;951:Reparação e manutenção de equipamentos de informática e comunicação;952:Reparação e manutenção de objetos e equipamentos pessoais e domésticos;960:Outras atividades de serviços pessoais;970:Serviços domésticos;990:Organismos internacionais e outras instituições extraterritoriais;Total
RO-ALTA FLORESTA D OESTE;0;0;0;0;353;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;0;0;0;4;0;0;5;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;34;28;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;17;0;0;0;0;0;0;1;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;3;2;1;80;0;0;13;0;0;0;0;0;0;12;4;0;0;71;1;4;8;0;25;65;20;7;6;4;13;0;2;11;1;0;92;101;16;70;104;13;104;178;0;25;16;0;0;0;0;0;0;0;0;0;5;0;0;0;0;6;4;2;0;47;6;0;0;0;0;1;0;9;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;33;0;2;0;0;0;0;0;0;0;7;0;1;0;0;0;0;0;0;1;0;3;0;0;0;0;0;12;0;0;6;980;0;0;0;13;0;0;0;7;16;0;26;10;0;0;0;0;0;0;0;0;0;0;7;1;0;4;12;9;0;0;6;0;0;2953
RO-ARIQUEMES;37;8;2;0;846;58;0;9;4;2;0;88;0;0;6;313;24;7;0;37;86;232;5;0;7;184;0;19;113;0;210;0;0;0;0;0;0;0;32;0;0;0;0;0;407;207;0;7;0;0;31;0;0;0;0;0;5;0;0;0;0;22;0;3;0;0;72;60;0;0;28;80;6;0;0;0;209;12;15;0;56;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;56;0;9;0;0;0;0;60;1;0;0;0;11;13;23;18;0;0;0;70;4;6;14;6;0;0;138;26;17;32;120;83;15;47;184;170;530;237;21;19;258;42;10;123;75;83;175;1165;322;388;603;553;94;432;974;0;97;325;0;0;0;11;0;0;0;0;0;60;8;0;0;0;54;17;152;16;478;43;4;6;12;0;14;50;15;0;0;0;41;23;1;1;0;236;0;0;0;2;0;27;0;0;0;0;23;0;10;0;38;18;119;231;60;12;1;1;0;21;7;0;11;17;3;8;4;39;1;0;11;0;48;2;0;5;0;73;35;1;124;0;9;72;2461;0;5;252;30;303;46;2;133;267;0;221;138;20;0;5;24;1;20;43;6;1;0;48;39;0;3;295;119;6;24;55;0;0;18049
RO-CABIXI;26;0;0;0;143;12;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;0;4;0;0;0;0;0;2;0;14;3;12;6;8;1;9;10;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;6;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;2;338;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;0;0;0;0;0;732
RO-CACOAL;9;5;20;0;366;25;0;0;34;0;0;0;0;0;0;0;75;0;0;0;644;0;19;0;103;135;0;8;60;0;28;0;0;0;19;0;0;6;172;0;233;1;34;0;200;43;0;0;0;0;47;0;0;0;0;0;5;0;0;0;0;19;0;1;0;0;15;55;0;0;104;252;37;0;0;0;0;0;6;0;15;0;0;29;0;0;0;0;0;0;0;0;0;1;0;0;12;0;0;0;0;0;0;0;0;0;19;0;16;0;0;0;0;77;0;0;0;0;3;13;51;3;1;0;0;0;0;2;17;3;0;63;601;20;19;23;11;107;22;158;186;104;487;181;24;50;246;180;4;82;28;24;279;1140;291;301;479;488;70;456;1002;0;257;268;0;0;0;0;0;0;8;0;0;34;0;0;6;0;56;3;203;2;464;198;1;0;4;0;55;38;72;7;0;0;17;13;6;29;0;207;0;0;0;0;0;1;0;0;0;0;5;1;23;0;33;72;106;160;9;21;0;0;0;10;0;6;7;8;8;26;0;19;0;0;0;0;26;1;35;6;0;64;14;1;128;0;37;206;2170;0;0;276;72;633;0;0;254;356;0;225;279;20;0;12;0;2;13;1;11;0;0;62;32;4;24;25;108;8;32;78;0;0;17846
RO-CEREJEIRAS;153;0;0;0;79;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;100;31;0;0;4;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;13;27;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;18;0;6;0;2;2;0;0;0;21;67;20;14;25;3;1;0;0;3;36;21;96;39;54;136;76;12;76;135;0;3;54;0;0;0;0;0;0;0;0;0;10;0;0;0;0;4;0;20;0;33;0;0;0;0;0;3;1;20;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;18;34;0;4;0;0;0;0;0;0;0;1;3;0;2;3;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;11;593;0;0;7;0;14;0;0;11;0;0;16;10;1;0;0;0;0;0;0;0;0;0;5;0;0;4;9;20;1;1;3;0;0;2351
RO-COLORADO DO OESTE;16;4;0;0;163;5;0;0;2;0;0;0;0;0;0;0;4;0;0;0;9;0;0;0;33;0;0;0;4;0;0;0;0;0;0;0;0;0;31;0;142;0;0;0;71;44;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;34;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;16;0;0;0;0;0;0;0;0;0;40;7;0;4;12;2;0;0;0;40;17;25;0;0;4;0;0;0;6;4;0;143;49;69;74;87;17;103;165;0;28;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;1;43;0;0;0;0;0;1;0;31;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;18;0;3;0;0;0;0;0;0;0;7;0;0;0;1;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;9;544;0;0;11;0;0;0;0;9;0;0;12;10;2;0;0;0;0;0;0;4;0;0;2;0;2;4;2;22;0;1;5;0;0;2334
RO-CORUMBIARA;108;0;0;0;449;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;1;0;2;1;9;0;0;0;0;0;0;0;0;0;51;15;19;10;8;3;14;32;0;1;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;2;0;0;0;1;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;371;0;0;0;0;0;0;0;4;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0;1212
RO-COSTA MARQUES;0;0;0;0;104;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2;0;0;1;0;0;0;0;0;4;34;14;30;11;22;0;25;22;0;21;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;3;0;13;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;559;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;0;0;0;0;0;944
RO-ESPIGAO D OESTE;0;0;0;0;377;12;0;1;15;0;0;1;0;0;75;11;0;0;0;0;689;0;0;0;6;0;0;0;10;0;0;0;0;0;0;0;0;3;9;1;0;17;0;0;487;98;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;4;7;6;0;0;0;0;0;6;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;3;0;0;0;0;2;3;1;0;0;0;1;0;2;0;0;0;5;49;0;4;0;23;4;0;14;2;57;81;52;6;28;0;8;0;2;30;53;0;137;75;81;87;141;28;174;197;0;30;103;0;0;0;0;0;0;0;0;0;0;6;0;0;0;4;168;15;1;51;0;1;0;0;0;15;0;52;0;0;0;7;0;3;0;0;52;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;21;26;0;1;0;0;0;0;0;0;0;2;0;0;0;11;0;0;0;0;20;0;0;0;0;0;0;2;1;0;0;14;901;0;97;20;0;0;0;0;14;25;0;29;21;6;0;0;0;0;0;0;2;0;0;5;0;0;2;18;19;3;8;5;1;0;5033
RO-GUAJARA-MIRIM;0;0;0;0;66;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;5;38;0;25;0;0;0;0;0;0;3;0;7;0;0;0;0;0;0;0;0;0;11;11;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;1;0;0;0;0;0;13;1;0;0;0;0;0;2;0;0;0;0;0;4;9;0;0;0;5;0;0;0;20;71;42;38;8;275;66;3;21;21;18;168;315;81;42;184;138;18;108;165;0;21;83;0;0;0;21;0;11;0;0;0;0;0;0;0;7;5;0;27;8;40;21;0;0;0;0;7;19;2;0;0;0;3;0;0;3;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;23;2;0;0;0;0;0;0;0;7;0;0;3;0;0;0;0;0;0;5;0;0;15;0;0;0;0;2;0;0;8;1255;6;0;61;0;0;0;3;19;84;0;44;3;0;0;0;0;0;0;0;0;0;0;10;0;3;0;19;37;8;1;13;0;0;4050
